"MEASURE","Measure","REGIONTYPE","Geography Level","LGA_2018","Region","FREQUENCY","Frequency","TIME","Time","Value","Flag Codes","Flags"
"ERP","Estimated Resident Population","LGA2018","Local Government Areas (2018)","10250","Ballina (A)","A","Annual","2009","2009",40295,,
"ERP","Estimated Resident Population","LGA2018","Local Government Areas (2018)","10250","Ballina (A)","A","Annual","2010","2010",40571,,
"ERP","Estimated Resident Population","LGA2018","Local Government Areas (2018)","10250","Ballina (A)","A","Annual","2011","2011",40747,,
"ERP","Estimated Resident Population","LGA2018","Local Government Areas (2018)","10250","Ballina (A)","A","Annual","2012","2012",41118,,
"ERP","Estimated Resident Population","LGA2018","Local Government Areas (2018)","10250","Ballina (A)","A","Annual","2013","2013",41510,,
"ERP","Estimated Resident Population","LGA2018","Local Government Areas (2018)","10250","Ballina (A)","A","Annual","2014","2014",41881,,
"ERP","Estimated Resident Population","LGA2018","Local Government Areas (2018)","10250","Ballina (A)","A","Annual","2015","2015",42336,,
"ERP","Estimated Resident Population","LGA2018","Local Government Areas (2018)","10250","Ballina (A)","A","Annual","2016","2016",42993,,
"ERP","Estimated Resident Population","LGA2018","Local Government Areas (2018)","10250","Ballina (A)","A","Annual","2017","2017",43480,,
"ERP","Estimated Resident Population","LGA2018","Local Government Areas (2018)","10250","Ballina (A)","A","Annual","2018","2018",44208,,
"ERP","Estimated Resident Population","LGA2018","Local Government Areas (2018)","10300","Balranald (A)","A","Annual","2001","2001",2751,,
"ERP","Estimated Resident Population","LGA2018","Local Government Areas (2018)","10300","Balranald (A)","A","Annual","2002","2002",2703,,
"ERP","Estimated Resident Population","LGA2018","Local Government Areas (2018)","10300","Balranald (A)","A","Annual","2003","2003",2661,,
"ERP","Estimated Resident Population","LGA2018","Local Government Areas (2018)","10300","Balranald (A)","A","Annual","2004","2004",2596,,
"ERP","Estimated Resident Population","LGA2018","Local Government Areas (2018)","10300","Balranald (A)","A","Annual","2005","2005",2545,,
"ERP","Estimated Resident Population","LGA2018","Local Government Areas (2018)","10300","Balranald (A)","A","Annual","2006","2006",2507,,
"ERP","Estimated Resident Population","LGA2018","Local Government Areas (2018)","10300","Balranald (A)","A","Annual","2007","2007",2473,,
"ERP","Estimated Resident Population","LGA2018","Local Government Areas (2018)","10300","Balranald (A)","A","Annual","2008","2008",2433,,
"ERP","Estimated Resident Population","LGA2018","Local Government Areas (2018)","10300","Balranald (A)","A","Annual","2009","2009",2404,,
"ERP","Estimated Resident Population","LGA2018","Local Government Areas (2018)","10300","Balranald (A)","A","Annual","2010","2010",2381,,
"ERP","Estimated Resident Population","LGA2018","Local Government Areas (2018)","10300","Balranald (A)","A","Annual","2011","2011",2353,,
"ERP","Estimated Resident Population","LGA2018","Local Government Areas (2018)","10300","Balranald (A)","A","Annual","2012","2012",2363,,
"ERP","Estimated Resident Population","LGA2018","Local Government Areas (2018)","10300","Balranald (A)","A","Annual","2013","2013",2381,,
"ERP","Estimated Resident Population","LGA2018","Local Government Areas (2018)","10300","Balranald (A)","A","Annual","2014","2014",2376,,
"ERP","Estimated Resident Population","LGA2018","Local Government Areas (2018)","10300","Balranald (A)","A","Annual","2015","2015",2364,,
"ERP","Estimated Resident Population","LGA2018","Local Government Areas (2018)","10300","Balranald (A)","A","Annual","2016","2016",2330,,
"ERP","Estimated Resident Population","LGA2018","Local Government Areas (2018)","10300","Balranald (A)","A","Annual","2017","2017",2343,,
"ERP","Estimated Resident Population","LGA2018","Local Government Areas (2018)","10300","Balranald (A)","A","Annual","2018","2018",2340,,
"ERP","Estimated Resident Population","LGA2018","Local Government Areas (2018)","10470","Bathurst Regional (A)","A","Annual","2001","2001",35504,,
"ERP","Estimated Resident Population","LGA2018","Local Government Areas (2018)","10470","Bathurst Regional (A)","A","Annual","2002","2002",35831,,
"ERP","Estimated Resident Population","LGA2018","Local Government Areas (2018)","10470","Bathurst Regional (A)","A","Annual","2003","2003",36084,,
